section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc286.1(2),obtaining sexual services for consideration from person under 18 years — first offence,6m,10y,,
cc286.1(2),obtaining sexual services for consideration from person under 18 years — subsequent offence,1y,10y,,
cc286.2(1),material benefit from sexual services,,10y,,summary
cc286.2(2),material benefit from sexual services provided by person under 18 years,2y,14y,,
cc286.3(1),procuring,,14ym,,
cc286.3(2),procuring — person under 18 years,5y,14y,,
cc286.4,advertising sexual services,,5y,,summary
cc291,bigamy,,5y,,summary
cc292,procuring feigned marriage,,5y,,summary
cc293,polygamy,,5y,,summary
cc293.1,forced marriage,,5y,,summary
cc293.2,marriage under age of 16 years,,5y,,summary
cc294,pretending to solemnize marriage,,2y,,summary
cc295,marriage contrary to law,,2y,,summary
cc300,libel — publishing libel known to be false,,5y,,summary
cc301,libel — publishing defamatory libel,,2y,,summary
cc302,libel — extortion,,5y,,summary
cc318,advocating genocide,,5y,,
cc319(1),public incitement of hatred,,2y,,summary
cc319(2),wilful promotion of hatred,,2y,,summary
cc319(2.1),wilful promotion of antisemitism,,2y,,summary
cc320.102,conversion therapy,,5y,,summary
cc320.103,conversion therapy — promoting or advertising,,2y,,summary
cc320.104,conversion therapy — material benefit,,2y,,summary
cc320.13(1),dangerous operation,,10y,,summary
cc320.13(2),dangerous operation — causing bodily harm — first offence,1000$,14y,1000$,5000$-729d-729d&5000$
cc320.13(2),dangerous operation — causing bodily harm — second offence,30d,14y,30d,5000$-729d-729d&5000$
cc320.13(2),dangerous operation — causing bodily harm — subsequent offence,120d,14y,120d,5000$-729d-729d&5000$
cc320.13(3),dangerous operation — causing death — first offence,1000$,life,,
cc320.13(3),dangerous operation — causing death — second offence,30d,life,,
cc320.13(3),dangerous operation — causing death — subsequent offence,120d,life,,
cc320.14(1),operation while impaired — first offence,1000$,10y,1000$,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — first offence — BAC between 120mg and 160mg,1500$,10y,1500$,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — first offence — BAC over 160mg,2000$,10y,2000$,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — second offence,30d,10y,30d,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — subsequent offence,120d,10y,120d,5000$-729d-729d&5000$
cc320.14(2),operation while impaired — causing bodily harm — first offence,1000$,14y,1000$,5000$-729d-729d&5000$
cc320.14(2),operation while impaired — causing bodily harm — second offence,30d,14y,30d,5000$-729d-729d&5000$
cc320.14(2),operation while impaired — causing bodily harm — subsequent offence,120d,14y,120d,5000$-729d-729d&5000$
cc320.14(3),operation while impaired — causing death — first offence,1000$,life,,
cc320.14(3),operation while impaired — causing death — second offence,30d,life,,
